,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
1023,sdg,Eastern and South-Eastern Asia,total,Sanitation,2007,29.462979999999998,632677031.20543,Basic service
1026,sdg,Eastern and South-Eastern Asia,total,Sanitation,2007,5.72199,122871760.24883,Limited service
1029,sdg,Eastern and South-Eastern Asia,total,Sanitation,2007,5.06029,108662788.38364,Open defecation
1032,sdg,Eastern and South-Eastern Asia,total,Sanitation,2007,40.92075,878716792.51791,Safely managed service
1035,sdg,Eastern and South-Eastern Asia,total,Sanitation,2007,18.83399,404434124.6442,Unimproved
1051,sdg,Eastern and South-Eastern Asia,total,Sanitation,2008,28.91153,625219996.65946,Basic service
1054,sdg,Eastern and South-Eastern Asia,total,Sanitation,2008,5.837940000000001,126247042.66001001,Limited service
1057,sdg,Eastern and South-Eastern Asia,total,Sanitation,2008,4.74659,102646251.12354,Open defecation
1060,sdg,Eastern and South-Eastern Asia,total,Sanitation,2008,42.92491,928263218.8756,Safely managed service
1063,sdg,Eastern and South-Eastern Asia,total,Sanitation,2008,17.57903,380151382.70923,Unimproved
1079,sdg,Eastern and South-Eastern Asia,total,Sanitation,2009,28.27188,615696271.32332,Basic service
1082,sdg,Eastern and South-Eastern Asia,total,Sanitation,2009,5.94895,129554326.22845,Limited service
1085,sdg,Eastern and South-Eastern Asia,total,Sanitation,2009,4.43591,96603926.24372,Open defecation
1088,sdg,Eastern and South-Eastern Asia,total,Sanitation,2009,44.995870000000004,979906187.1923199,Safely managed service
1091,sdg,Eastern and South-Eastern Asia,total,Sanitation,2009,16.34739,356008464.01437,Unimproved
1107,sdg,Eastern and South-Eastern Asia,total,Sanitation,2010,27.550490000000003,604225440.73171,Basic service
1110,sdg,Eastern and South-Eastern Asia,total,Sanitation,2010,6.0547699999999995,132790477.09205,Limited service
1113,sdg,Eastern and South-Eastern Asia,total,Sanitation,2010,4.12915,90558800.26688,Open defecation
1116,sdg,Eastern and South-Eastern Asia,total,Sanitation,2010,47.12727,1033574787.79204,Safely managed service
1119,sdg,Eastern and South-Eastern Asia,total,Sanitation,2010,15.138320000000002,332006981.11732,Unimproved
1135,sdg,Eastern and South-Eastern Asia,total,Sanitation,2011,26.74705,590769546.9653,Basic service
1138,sdg,Eastern and South-Eastern Asia,total,Sanitation,2011,6.15404,135925919.99141002,Limited service
1141,sdg,Eastern and South-Eastern Asia,total,Sanitation,2011,3.8275099999999997,84539249.49723001,Open defecation
1144,sdg,Eastern and South-Eastern Asia,total,Sanitation,2011,49.309059999999995,1089102782.35724,Safely managed service
1147,sdg,Eastern and South-Eastern Asia,total,Sanitation,2011,13.96234,308390149.18882996,Unimproved
1163,sdg,Eastern and South-Eastern Asia,total,Sanitation,2012,25.87591,575583819.25134,Basic service
1166,sdg,Eastern and South-Eastern Asia,total,Sanitation,2012,6.2476,138971737.07111,Limited service
1169,sdg,Eastern and South-Eastern Asia,total,Sanitation,2012,3.5311,78545798.19474,Open defecation
1172,sdg,Eastern and South-Eastern Asia,total,Sanitation,2012,51.534040000000005,1146323444.96889,Safely managed service
1175,sdg,Eastern and South-Eastern Asia,total,Sanitation,2012,12.81135,284975707.5117,Unimproved
1191,sdg,Eastern and South-Eastern Asia,total,Sanitation,2013,24.96411,559189108.03582,Basic service
1194,sdg,Eastern and South-Eastern Asia,total,Sanitation,2013,6.27787,140622588.34337,Limited service
1197,sdg,Eastern and South-Eastern Asia,total,Sanitation,2013,3.2322900000000003,72402330.95512,Open defecation
1200,sdg,Eastern and South-Eastern Asia,total,Sanitation,2013,53.836859999999994,1205930558.2149198,Safely managed service
1203,sdg,Eastern and South-Eastern Asia,total,Sanitation,2013,11.68887,261827331.44853,Unimproved
1219,sdg,Eastern and South-Eastern Asia,total,Sanitation,2014,23.99742,541181057.41121,Basic service
1222,sdg,Eastern and South-Eastern Asia,total,Sanitation,2014,6.30196,142119434.13396,Limited service
1225,sdg,Eastern and South-Eastern Asia,total,Sanitation,2014,2.94523,66419742.943459995,Open defecation
1228,sdg,Eastern and South-Eastern Asia,total,Sanitation,2014,56.17451,1266827048.09623,Safely managed service
1231,sdg,Eastern and South-Eastern Asia,total,Sanitation,2014,10.58088,238616030.41515,Unimproved
1247,sdg,Eastern and South-Eastern Asia,total,Sanitation,2015,22.97704,521523600.47707003,Basic service
1250,sdg,Eastern and South-Eastern Asia,total,Sanitation,2015,6.31985,143445408.74632,Limited service
1253,sdg,Eastern and South-Eastern Asia,total,Sanitation,2015,2.6614400000000002,60408387.4006,Open defecation
